name,title,cites,year,lastUpdated
Halim Yanikomeroglu,Relay-based deployment concepts for wireless and mobile broadband radio,2237,2004,2020-10-15
Yvan Labiche,Is mutation an appropriate tool for testing experiments?,985,2005,2020-10-15
Halim Yanikomeroglu,"Device-to-device communication in 5G cellular networks: challenges, solutions, and future directions",933,2014,2020-10-15
Halim Yanikomeroglu,Multihop diversity in wireless relaying channels,825,2004,2020-10-15
F. Richard Yu,"Wireless network virtualization: A survey, some research issues and challenges",679,2014,2020-10-15
Andy Adler,Uses and abuses of EIDORS: an extensible software base for EIT,618,2006,2020-10-15
Changcheng Huang,Efficient resource allocation for device-to-device communication underlaying LTE network,609,2010,2020-10-15
Adrian D. C. Chan,A Gaussian mixture model based classification scheme for myoelectric control of powered upper limb prostheses,600,2005,2020-10-15
F. Richard Yu,"Software-defined networking (SDN) and distributed denial of service (DDoS) attacks in cloud computing environments: A survey, some research issues, and challenges",554,2015,2020-10-15
Halim Yanikomeroglu,Efficient 3-D placement of an aerial base station in next generation cellular networks,512,2016,2020-10-15
Thomas Kunz,The influence of different workload descriptions on a heuristic load balancing scheme,471,1991,2020-10-15
Yvan Labiche,Using mutation analysis for assessing and comparing testing coverage criteria,465,2006,2020-10-15
Dorina Petriu,The future of software performance engineering,465,2007,2020-10-15
Murray Woodside,The future of software performance engineering,465,2007,2020-10-15
F. Richard Yu,A new method to support UMTS/WLAN vertical handover using SCTP,453,2004,2020-10-15
Andy Adler,GREIT: a unified approach to 2D linear EIT reconstruction of lung images,441,2009,2020-10-15
Gabriel Wainer,Discrete-Event Modeling and Simulation: A Practitioner's Approach,416,2009,2020-10-15
Gabriel Wainer,Discrete-event modeling and simulation: a practitioner's approach,416,2017,2020-10-15
Adrian D. C. Chan,Wavelet distance measure for person identification using electrocardiograms,410,2008,2020-10-15
Halim Yanikomeroglu,3-D placement of an unmanned aerial vehicle base station (UAV-BS) for energy-efficient maximal coverage,403,2017,2020-10-15
Dorina Petriu,The stochastic rendezvous network model for performance of synchronous client-server-like distributed software,385,1995,2020-10-15
