id,name,affiliation,interest,citedby,citedbyyear,hindex,hindex5y,i10index,i10index5y,lastUpdated
_QJIp3cAAAAJ,Babak Esfandiari,Babak Esfandiari,"['network computing', 'case-based reasoning', 'applied artificial intelligence']",1572,"{1997: 14, 1998: 13, 1999: 1, 2000: 4, 2001: 16, 2002: 19, 2003: 47, 2004: 48, 2005: 73, 2006: 107, 2007: 111, 2008: 105, 2009: 113, 2010: 84, 2011: 107, 2012: 104, 2013: 91, 2014: 91, 2015: 88, 2016: 65, 2017: 88, 2018: 57, 2019: 54, 2020: 42}",19.0,9.0,38.0,7.0,2020-10-15
3y7q_scAAAAJ,Leila Mostaço-Guidolin,Leila Mostaço-Guidolin,"['3D-bioprinting', 'microscopy', 'collagen', 'extracellular matrix', 'image analysis']",405,"{2009: 3, 2010: 12, 2011: 13, 2012: 15, 2013: 23, 2014: 31, 2015: 31, 2016: 27, 2017: 42, 2018: 43, 2019: 80, 2020: 82}",10.0,10.0,10.0,10.0,2020-10-15
6_vcXMIAAAAJ,Chris Joslin,Chris Joslin,"['Computer Graphics & Animation', 'Motion Tracking', 'Collaborative Virtual Environments', 'Video Compression & Adaptation']",615,"{2001: 6, 2002: 12, 2003: 9, 2004: 29, 2005: 28, 2006: 42, 2007: 42, 2008: 46, 2009: 42, 2010: 19, 2011: 44, 2012: 41, 2013: 21, 2014: 47, 2015: 38, 2016: 23, 2017: 35, 2018: 34, 2019: 38, 2020: 16}",15.0,6.0,17.0,4.0,2020-10-15
6cOzh_AAAAAJ,John Chinneck,John Chinneck,"['optimization', 'feasibility and infeasibility', 'constraints']",2717,"{1992: 12, 1993: 14, 1994: 16, 1995: 36, 1996: 59, 1997: 33, 1998: 25, 1999: 40, 2000: 35, 2001: 27, 2002: 46, 2003: 47, 2004: 57, 2005: 69, 2006: 36, 2007: 75, 2008: 96, 2009: 111, 2010: 110, 2011: 128, 2012: 152, 2013: 214, 2014: 206, 2015: 216, 2016: 204, 2017: 190, 2018: 142, 2019: 149, 2020: 113}",24.0,15.0,46.0,22.0,2020-10-15
B2Irh-EAAAAJ,Ioannis Lambadaris,Ioannis Lambadaris,"['Computer Networks', 'Software Defined Networking', 'IoT', 'Wireless Architectures', 'Probablity and Stochastic Processes']",3501,"{1995: 28, 1996: 52, 1997: 53, 1998: 64, 1999: 81, 2000: 71, 2001: 72, 2002: 105, 2003: 129, 2004: 138, 2005: 176, 2006: 197, 2007: 180, 2008: 151, 2009: 145, 2010: 134, 2011: 136, 2012: 116, 2013: 108, 2014: 136, 2015: 123, 2016: 146, 2017: 205, 2018: 199, 2019: 280, 2020: 223}",27.0,18.0,81.0,36.0,2020-10-15
bO8me80AAAAJ,Andy Adler,Andy Adler,['Biomedical Instrumentation'],8448,"{1999: 21, 2000: 27, 2001: 40, 2002: 48, 2003: 52, 2004: 127, 2005: 144, 2006: 205, 2007: 242, 2008: 342, 2009: 279, 2010: 342, 2011: 375, 2012: 568, 2013: 532, 2014: 519, 2015: 647, 2016: 647, 2017: 832, 2018: 876, 2019: 870, 2020: 579}",47.0,33.0,138.0,95.0,2020-10-15
C2iee4YAAAAJ,Halim Yanikomeroglu,Halim Yanikomeroglu,"['6G', 'Wireless Communications', 'Aerial Networks', '5G', 'Wireless']",15166,"{2003: 59, 2004: 91, 2005: 173, 2006: 307, 2007: 463, 2008: 611, 2009: 681, 2010: 864, 2011: 961, 2012: 927, 2013: 918, 2014: 952, 2015: 916, 2016: 975, 2017: 1210, 2018: 1508, 2019: 1943, 2020: 1445}",51.0,39.0,188.0,121.0,2020-10-15
egWTJwMAAAAJ,Samuel A Ajila,Samuel A Ajila,"['Software Engineering', 'Requirement Engineering', 'Cloud Computing', 'Big Data Analytics and Database Systems']",998,"{2002: 6, 2003: 5, 2004: 6, 2005: 4, 2006: 10, 2007: 18, 2008: 35, 2009: 39, 2010: 31, 2011: 44, 2012: 53, 2013: 52, 2014: 55, 2015: 75, 2016: 81, 2017: 87, 2018: 137, 2019: 151, 2020: 84}",16.0,14.0,23.0,17.0,2020-10-15
eydj1p0AAAAJ,Gabriel Wainer,Gabriel Wainer,"['Discrete-Event Simulation', 'Distributed Simulation', 'Real-Time Simulation', 'DEVS', 'Cellular Automata']",5304,"{2001: 53, 2002: 59, 2003: 68, 2004: 105, 2005: 170, 2006: 189, 2007: 184, 2008: 161, 2009: 202, 2010: 268, 2011: 319, 2012: 314, 2013: 321, 2014: 280, 2015: 359, 2016: 367, 2017: 350, 2018: 582, 2019: 533, 2020: 328}",31.0,20.0,142.0,70.0,2020-10-15
Giy-AmwAAAAJ,Rafik Goubran,Rafik Goubran,"['Sensors', 'Biomedical Engineering', 'Data Analytics', 'Digital Signal Processing', 'Smart Homes']",5677,"{1995: 16, 1996: 13, 1997: 30, 1998: 39, 1999: 38, 2000: 40, 2001: 22, 2002: 67, 2003: 66, 2004: 85, 2005: 142, 2006: 198, 2007: 246, 2008: 220, 2009: 233, 2010: 263, 2011: 264, 2012: 414, 2013: 361, 2014: 404, 2015: 384, 2016: 399, 2017: 398, 2018: 459, 2019: 463, 2020: 319}",37.0,24.0,151.0,74.0,2020-10-15
