id,name,title,cites,year,lastUpdated
_QJIp3cAAAAJ,Babak Esfandiari,On how agents make friends: Mechanisms for trust acquisition,159,2001,2020-10-15
_QJIp3cAAAAJ,Babak Esfandiari,A Case-Based Reasoning Approach to Imitating RoboCup Players.,114,2008,2020-10-15
_QJIp3cAAAAJ,Babak Esfandiari,Management applications of the web service offerings language (WSOL),91,2005,2020-10-15
_QJIp3cAAAAJ,Babak Esfandiari,Management applications of the web service offerings language (wsol),83,2003,2020-10-15
_QJIp3cAAAAJ,Babak Esfandiari,Web Service Offerings Infrastructure (WSOI)-a management infrastructure for XML Web services,78,2004,2020-10-15
_QJIp3cAAAAJ,Babak Esfandiari,Towards a classification of web service feature interactions,67,2007,2020-10-15
_QJIp3cAAAAJ,Babak Esfandiari,On feature interactions among web services,66,2005,2020-10-15
_QJIp3cAAAAJ,Babak Esfandiari,On requirements for ontologies in management of web services,65,2002,2020-10-15
_QJIp3cAAAAJ,Babak Esfandiari,A case-based reasoning framework for developing agents using learning by observation,34,2011,2020-10-15
_QJIp3cAAAAJ,Babak Esfandiari,A hybrid approach to operating system discovery using answer set programming,33,2007,2020-10-15
_QJIp3cAAAAJ,Babak Esfandiari,Towards a web service composition management framework,32,2005,2020-10-15
_QJIp3cAAAAJ,Babak Esfandiari,Defining and investigating device comfort,29,2011,2020-10-15
_QJIp3cAAAAJ,Babak Esfandiari,System for discounting in a bidding process based on quality of service,28,2004,2020-10-15
_QJIp3cAAAAJ,Babak Esfandiari,On the management of compositions of web services,25,2001,2020-10-15
_QJIp3cAAAAJ,Babak Esfandiari,Considerations for real-time spatially-aware case-based reasoning: A case study in robotic soccer imitation,24,2008,2020-10-15
_QJIp3cAAAAJ,Babak Esfandiari,Using contextual information for ids alarm classification,23,2009,2020-10-15
_QJIp3cAAAAJ,Babak Esfandiari,An active approach to automatic case generation,22,2009,2020-10-15
_QJIp3cAAAAJ,Babak Esfandiari,Web service offerings language (wsol) and web service composition management (wscm),21,2002,2020-10-15
_QJIp3cAAAAJ,Babak Esfandiari,An interface agent for network supervision,21,1996,2020-10-15
_QJIp3cAAAAJ,Babak Esfandiari,Advances in case-based reasoning,19,2008,2020-10-15
_QJIp3cAAAAJ,Babak Esfandiari,A scene-based imitation framework for robocup clients,19,2006,2020-10-15
_QJIp3cAAAAJ,Babak Esfandiari,Towards a classification of web service feature interactions,19,2005,2020-10-15
_QJIp3cAAAAJ,Babak Esfandiari,Requirements for web service composition management,19,2004,2020-10-15
_QJIp3cAAAAJ,Babak Esfandiari,On the dynamic manipulation of classes of service for xml web services,19,2003,2020-10-15
_QJIp3cAAAAJ,Babak Esfandiari,U-P2P: A peer-to-peer system for description and discovery of resource-sharing communities,18,2002,2020-10-15
_QJIp3cAAAAJ,Babak Esfandiari,Learning state-based behaviour using temporally related cases,17,2011,2020-10-15
_QJIp3cAAAAJ,Babak Esfandiari,System and method of prefetching and caching web services requests,17,2010,2020-10-15
_QJIp3cAAAAJ,Babak Esfandiari,Adaptive filtering of advertisements on web pages,17,2005,2020-10-15
_QJIp3cAAAAJ,Babak Esfandiari,Management of compositions of E-and M-business web services with multiple classes of service,17,2002,2020-10-15
_QJIp3cAAAAJ,Babak Esfandiari,U-P2P: A Peer-to-Peer Framework for Universal Resource Sharing and Discovery.,15,2003,2020-10-15
_QJIp3cAAAAJ,Babak Esfandiari,Extending apache axis for monitoring of web service offerings,14,2005,2020-10-15
_QJIp3cAAAAJ,Babak Esfandiari,Agent-oriented techniques for network supervision,14,1996,2020-10-15
_QJIp3cAAAAJ,Babak Esfandiari,A flexible hybrid architecture for management of distributed web service registries,13,2007,2020-10-15
